trade_id,bot_id,algo_id,ticker,entry_price,exit_price,entry_time,exit_time,entry_trigger_price,exit_trigger_price,entry_trigger_time,exit_trigger_time,trade_size,trade_direction,trade_pnl,trade_status
77,2,,COIN,275.40,275.75,2025-02-11 21:29:43.272930,2025-02-11 21:30:11.574907,,275.75,,2025-02-11 21:30:11.574907,10000.00,SHORT,-0.35,closed
78,3,,COIN,275.68,275.79,2025-02-11 21:30:04.813091,2025-02-11 21:31:37.727478,,275.79,,2025-02-11 21:31:37.727478,10000.00,LONG,0.11,closed
79,3,,TSLA,344.13,343.89,2025-02-11 21:30:20.588608,2025-02-11 21:31:58.795336,,343.89,,2025-02-11 21:31:58.795336,10000.00,LONG,-2400.00,closed
80,2,,COIN,275.59,276.19,2025-02-11 21:30:35.340815,2025-02-11 21:31:11.516229,,276.19,,2025-02-11 21:31:11.516229,10000.00,SHORT,-0.60,closed
81,2,,COIN,275.59,276.19,2025-02-11 21:30:35.340815,2025-02-11 21:31:11.516229,,276.19,,2025-02-11 21:31:11.516229,10000.00,SHORT,-0.60,closed
82,2,,COIN,275.93,276.09,2025-02-11 21:31:32.262409,2025-02-11 21:33:08.415391,,276.09,,2025-02-11 21:33:08.415391,10000.00,SHORT,-0.16,closed
83,2,,COIN,275.93,275.95,2025-02-11 21:31:32.262409,2025-02-11 21:35:58.525703,,275.95,,2025-02-11 21:35:58.525703,10000.00,SHORT,-0.02,closed
84,3,,COIN,276.14,275.72,2025-02-11 21:31:47.528670,2025-02-11 21:32:34.353966,,275.72,,2025-02-11 21:32:34.353966,10000.00,LONG,-0.42,closed
85,4,,TSLA,343.99,344.00,2025-02-11 21:31:57.045352,2025-02-11 21:32:19.101843,,344.00,,2025-02-11 21:32:19.101843,10000.00,SHORT,-0.01,closed
86,4,,TSLA,344.07,344.65,2025-02-11 21:32:35.367193,2025-02-11 21:33:39.239107,,344.65,,2025-02-11 21:33:39.239107,10000.00,SHORT,-0.58,closed
87,3,,TSLA,344.20,344.40,2025-02-11 21:32:57.648065,2025-02-11 21:33:57.243647,,344.40,,2025-02-11 21:33:57.243647,10000.00,LONG,2000.00,closed
88,3,,COIN,275.91,275.47,2025-02-11 21:32:57.645062,2025-02-11 21:34:16.547808,,275.47,,2025-02-11 21:34:16.547808,10000.00,LONG,-0.44,closed
89,2,,COIN,275.69,275.93,2025-02-11 21:33:12.520169,2025-02-11 21:37:11.135013,,275.93,,2025-02-11 21:37:11.135013,10000.00,SHORT,-0.24,closed
90,3,,TSLA,344.40,343.80,2025-02-11 21:34:13.518795,2025-02-11 21:35:48.509754,,343.80,,2025-02-11 21:35:48.509754,10000.00,LONG,-6000.00,closed
91,4,,TSLA,344.28,342.80,2025-02-11 21:34:37.919315,2025-02-11 21:42:44.710730,,342.80,,2025-02-11 21:42:44.710730,10000.00,SHORT,1.48,closed
92,3,,COIN,275.76,275.33,2025-02-11 21:34:58.676912,2025-02-11 21:36:37.329888,,275.33,,2025-02-11 21:36:37.329888,10000.00,LONG,-0.43,closed
93,2,,COIN,275.57,275.94,2025-02-11 21:36:10.538635,2025-02-11 21:36:54.362117,,275.94,,2025-02-11 21:36:54.362117,10000.00,SHORT,-0.37,closed
94,3,,COIN,275.75,275.67,2025-02-11 21:36:52.857276,2025-02-11 21:38:00.228962,,275.67,,2025-02-11 21:38:00.228962,10000.00,LONG,-0.08,closed
95,2,,COIN,275.64,276.23,2025-02-11 21:37:12.135374,2025-02-11 21:37:17.141459,,276.23,,2025-02-11 21:37:17.141459,10000.00,SHORT,-0.59,closed
96,2,,COIN,275.64,276.22,2025-02-11 21:37:12.135374,2025-02-11 21:37:16.640483,,276.22,,2025-02-11 21:37:16.640483,10000.00,SHORT,-0.58,closed
97,3,,TSLA,343.75,343.14,2025-02-11 21:37:13.640211,2025-02-11 21:39:28.770819,,343.14,,2025-02-11 21:39:28.770819,10000.00,LONG,-6100.00,closed
